"타임스탬프","Participant ID (provided by researcher)","1. Age","2. Gender","3. Native language","4. How often do you use VR?","5. Do you have any known hearing impairment?","5-1. (If ""Yes"" above) Please describe","6. When did you last visit a physical museum?","7. On average, how familiar are you with the artworks displayed in this museum?","In the virtual environment I had a sense of being there.","I felt present in the virtual space.","I had a sense of acting in the virtual space rather than operating something from outside (e.g., feeling like you are walking inside the space rather than controlling a character with a controller).","The audio in this visit sounded natural and realistic.","The locations the sounds came from felt clear.","The sounds blended naturally into the gallery soundscape.","The sounds were distracting.","The volume of the sounds felt comfortable.","If I could have chosen, I would have stayed longer in this museum.","I felt that someone could have been physically close to me (e.g., standing or sitting nearby) in this museum.","During this visit, I felt I lacked companionship.","During this visit, I felt left out.","During this visit, I felt isolated from others.","During this visit, I felt connected to other people.","How many other visitors do you think had been in this museum? (enter a number; 0 = none)","I noticed the presence of other people in this museum.","The presence of other people was obvious to me.","I felt that another person was currently present in the museum with me.","I felt someone had been in this space before me.","I felt that previous visitors had left traces in this space.","I perceived that someone had been in this museum with me.","In the virtual environment I had a sense of being there.","I felt present in the virtual space.","I had a sense of acting in the virtual space rather than operating something from outside (e.g., feeling like you are walking inside the space rather than controlling a character with a controller).","The audio in this visit sounded natural and realistic.","The locations the sounds came from felt clear.","The sounds blended naturally into the gallery soundscape.","The sounds were distracting.","The volume of the sounds felt comfortable.","If I could have chosen, I would have stayed longer in this museum.","I felt that someone could have been physically close to me (e.g., standing or sitting nearby) in this museum.","During this visit, I felt I lacked companionship.","During this visit, I felt left out.","During this visit, I felt isolated from others.","During this visit, I felt connected to other people.","How many other visitors do you think had been in this museum? (enter a number; 0 = none)","I noticed the presence of other people in this museum.","The presence of other people was obvious to me.","I felt that another person was currently present in the museum with me.","I felt someone had been in this space before me.","I felt that previous visitors had left traces in this space.","I perceived that someone had been in this museum with me.","I noticed sounds that suggested other people had been in this space."
"2026/05/06 1:37:32 오후 GMT+9","CDY(P1)","34","Female","Korean","About once a week","No","","Last month","5","6","6","4","5","5","6","2","6","5","2","2","2","3","3","3","1","1","1","2","2","2","6","6","4","6","6","6","6","3","5","7","3","2","1","3","30","6","6","5","6","5","6","5"
"2026/05/06 2:07:04 오후 GMT+9","CYW(P2)","30","Male","Korean","A few times a month","No","","Last month","7","6","5","4","4","6","7","3","7","5","1","6","2","7","1","0","1","1","1","1","1","1","7","6","6","6","5","6","3","4","4","6","3","5","6","5","2","7","7","7","6","6","6","6"
"2026/05/06 2:20:51 오후 GMT+9","KBW(P3)","31","female","korean","A few times a week","No","","Last month","6","6","6","6","6","2","6","1","6","5","1","1","1","6","1","0","1","1","1","1","1","1","6","6","6","6","4","5","6","1","2","6","2","1","1","1","1","6","5","5","5","1","6","7"
"2026/05/06 4:09:38 오후 GMT+9","OKT(P4)","33","m","korean","About once a week","No","","Last week","6","5","5","5","5","5","4","3","6","5","2","7","1","7","1","0","1","1","1","4","1","1","6","6","6","5","5","6","5","6","7","6","3","4","4","4","2","5","6","3","6","5","4","7"
"2026/05/07 3:08:18 오후 GMT+9","KDA(P5)","33","여성 ","한국어","A few times a year","No","","Last year","6","6","6","6","5","4","6","2","5","2","5","2","2","2","5","0","2","1","2","2","1","2","4","4","4","3","5","4","5","6","3","6","3","2","2","4","1","6","5","4","3","2","5","5"
"2026/05/07 3:25:51 오후 GMT+9","KYL","27","female","korena","About once a week","No","","Last month","6","6","6","6","5","5","5","1","6","6","3","5","2","5","1","0","1","1","1","5","4","2","6","6","6","2","1","1","6","2","4","5","6","2","4","3","3","5","3","5","5","5","5","6"
"2026/05/08 12:25:04 오후 GMT+9","DKC","26","여성","한국어","About once a week","No","","Last week","7","6","6","7","2","3","6","1","6","3","1","7","7","6","1","0","1","1","1","2","1","1","6","6","7","4","7","5","6","3","6","7","6","2","2","5","3","6","6","6","6","7","7","6"
"2026/05/08 1:15:46 오후 GMT+9","YJC","29","male","korean","A few times a year","No","","Last month","7","5","5","5","4","3","4","3","3","2","2","4","4","2","1","1","2","2","3","1","1","4","3","3","7","1","4","3","5","2","1","1","5","7","5","2","0","1","1","1","1","1","1","1"
"2026/05/11 2:34:46 오후 GMT+9","Akira(A1)","29","male","Japanese","A few times a year","No","","Last year","4","6","7","6","4","2","6","1","6","5","3","4","3","7","1","0","1","1","1","2","1","1","7","6","6","5","6","4","3","3","5","7","3","4","6","2","2","7","7","7","6","5","7","7"
"2026/05/11 3:08:30 오후 GMT+9","Sangeun(A2)(B->A)","24","Female","Korean","A few times a year","No","","Last year","3","5","5","5","3","5","3","4","5","3","5","3","3","3","5","2","5","5","5","5","6","5","5","5","4","3","3","5","2","5","2","1","5","4","5","2","0","3","3","3","3","3","3","3"
